movie_ind,name,year,score,tomatoter,audience,runtime,genre,certificate,gross,director,star,writer
1577,Viceroy's House,2017,,72%,66%,107 minutes,"Art House & International, Drama",NR,,Gurinder Chadha,"Hugh Bonneville, Gillian Anderson, Manish Dayal, Huma Quershi, Lily Travers, Om Puri, Michael Gambon, Simon Callow, Simon Williams, Huma Qureshi, Nicholas Blane, Lucy Fleming, Sarah-Jane Dias, Samrat Chakrabarti, Terence Harvey, Roberta Taylor, Arunoday Singh, Denzil Smith, Neeraj Kabi, Darshan Jariwala, Tanveer Ghani, Rajendranath Zutshi, Marcus Jean Pirae, Jaz Deol, Noah Zeiler, Robin Soans, Gerry George, Yusuf Khurram","Paul Mayeda Berges, Moira Buffini, Gurinder Chadha"
1578,Beauty and the Beast,2017,,71%,80%,129 minutes,"Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance",PG,,Bill Condon,"Emma Watson, Dan Stevens (IV), Luke Evans, Kevin Kline, Josh Gad, Ewan McGregor, Stanley Tucci, Gugu Mbatha-Raw, Audra McDonald, Ian McKellen, Emma Thompson","Evan Spiliotopoulos, Stephen Chbosky"
1579,Southside With You,2016,,92%,71%,84 minutes,"Drama, Romance",PG-13,,Richard Tanne,"Tika Sumpter, Parker Sawyers, Vanessa Bell Calloway, Taylar Fondren, Preston Tate Jr., Deanna Reed Foster, Donn Carl Harper, Tom McElory, Jerod Haynes, Gabrielle Lott-Rogers, Phillip Edward Van Lear, Deborah Geffner, Phillip Van Lear, Tom McElroy, Eric Morgan Stuart, Stephanie Monday",Richard Tanne
1580,Of Men And War,2016,,100%,50%,140 minutes,"Documentary, Special Interest",NR,,Laurent Becue-Renard,,Laurent Becue-Renard
1581,Kill Ratio,2016,,0%,19%,,"Action & Adventure, Drama",NR,,Paul Tanter,"Tom Hopper, Amy Huberman, Lacy Moore, Nick Dunning, Conor Hegarty, Michelle Lehane, Brian McGuinness",Steven Palmer Peterson
1582,One October,2018,,100%,,56 minutes,Documentary,NR,,Rachel Shuman,Clay Pigeon,
1583,The Girl Is In Trouble,2015,,57%,40%,94 minutes,Mystery & Suspense,NR,,Julius Onah,"Columbus Short, Alicja Bachleda-Curus, Wilmer Valderrama, Jesse Spencer, Paz de la Huerta, Mike Starr, Tom Pelphrey, Kareem Savinon, Dominic Colón, Danny Henriquez, Omer Barnea, J. Bernard Calloway, Sarah Kozinn, Todd Aubrey Davis, Wass W. Stevens, Diane Cheng, Miriam Colon, Sanjit De Silva, Jeff Worden, Pressly Coker, Paul Alves, Jackson Ning, Berto Colon, Kelvin Whui, Tom Kemnitz, Tom Kemnitz Jr., Angelo Velentzas, Nate Smith, Maggie Takyar, rekLES, Cassie Stevens, Mike Ivers, Juliet Tondowski, Vanessa Rubio, Norm Golden, Danahar Dempsey, Luis Ayala, Waldina Diaz, Sandra Trujillo, Nicky Digital, Laszlo, Ray Chao, Trevor Zhou, Henrik Kromann","Mayuran Tiruchelvam, Julius Onah"
1584,Barbershop: The Next Cut,2016,,90%,66%,112 minutes,Comedy,PG-13,,Malcolm D. Lee,"Ice Cube, Cedric the Entertainer, Regina Hall, Sean Patrick Thomas, Eve, Anthony Anderson, Jazsmin Lewis, Common, Nicki Minaj, Troy Garity, Lamorne Morris, Utkarsh Ambudkar, Margot Bingham, Deon Cole, Michael Rainey Jr., Diallo Thompson, Tyga, Jamal Woolard, Renell Gibbs, Felicia O'Dell, Hallie Ricardo, Elizabeth Dozier, Reggie Brown, Christin Rankins, Charles Black, Yusuf Gatewood, Timon Kyle Durrett, Deborah Ayorinde, Chala Savino, Brad Sanders, Christin D. Rankins, Marcia Wright, Quinn McPherson, Torion Sellers, II, Moses Jones, Erique Mitchell, Isaiah John, Lindsey Ward, N. Kozmo Miller, Hayden Obligacion, Winston Brooks, Robert Crayton, Selina Laffinette, Peter M. Rosenberg, Cordelius Parks","Kenya Barris, Tracy Oliver"
1585,Jessabelle,2015,,29%,31%,90 minutes,"Drama, Horror",PG-13,,Kevin Greutert,"Sarah Snook, Mark Webber, David Andrews, Joelle Carter, Ana de la Reguera, Larisa Oleynik, Amber Stevens, Chris Ellis, Fran Bennett, Vaughn Wilson, Brian Hallisay, Paul Garrett, Barbara Weetman, Jason A. Davis, Lucius Baston, Charles Black",Robert Ben Garant
1586,Timbuktu,2015,,98%,77%,97 minutes,"Art House & International, Drama",PG-13,,Abderrahmane Sissako,"Ibrahim Ahmed, Toulou Kiki, Layla Walet Mohamed, Mehdi Ag Mohamed, Abel Jafri, Fatoumata Diawara, Hichem Yacoubi, Kettly Noël, Adel Mahmoud Cherif, Salem Dendou","Abderrahmane Sissako, Kessen Tall"
1587,The Valley,2018,,42%,62%,95 minutes,"Drama, Mystery & Suspense",R,,Saila Kariat,"Alyy Khan, Jake T. Austin, Suchitra Pillai, Christa B. Allen, Agneeta Thacker",Saila Kariat
1588,Suicide Squad: Hell to Pay,2018,,88%,68%,91 minutes,,R,,Sam Liu,"Christian Slater, Vanessa A. Williams, Vanessa L. Williams, Billy Brown, Billy Brown, Kristin Bauer van Straten, Gideon Emery","Len Wein, John Byrne, Alan Burnett"
1589,Paddington 2,2018,,100%,88%,105 minutes,"Animation, Comedy, Kids & Family",PG,,Paul King,"Hugh Grant, Ben Whishaw, Brendan Gleeson, Hugh Bonneville, Sally Hawkins, Julie Walters, Jim Broadbent, Peter Capaldi, Madeleine Harris, Samuel Joslin, Imelda Staunton","Paul King , Simon Farnaby"
1590,Appropriate Behavior,2015,,96%,64%,90 minutes,Comedy,NR,,Desiree Akhavan,"Desiree Akhavan, Rebecca Henderson, Halley Feiffer, Anh Duong, Scott Adsit, Arian Moayed, Hooman Majd, Aimee Mullins",Desiree Akhavan
1591,The Book Of Love,2017,,8%,63%,107 minutes,Drama,PG-13,,Bill Purple,"Jason Sudeikis, Jessica Biel, Maisie Williams, Mary Steenburgen, Orlando Jones, Paul Reiser","Robbie Pickering, Bill Purple"
1592,The Breadwinner,2018,,95%,86%,93 minutes,"Animation, Drama, Kids & Family",PG-13,,Nora Twomey,"Saara Chaudry, Soma Chhaya, Laara Sadiq, Shaista Latif, Ali Badshah, Noorin Gulamgaus, Kawa Ada",Anita Doron
1593,Into the Inferno,2016,,92%,72%,107 minutes,Documentary,NR,,Werner Herzog,"Clive Oppenheimer, Werner Herzog, James Hammond",Werner Herzog
1594,Don't Think Twice,2016,,98%,69%,92 minutes,Comedy,R,,Mike Birbiglia,"Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia, Kate Micucci, Chris Gethard, Tami Sagher",Mike Birbiglia
1595,Alone (Solo),2019,,75%,44%,91 minutes,"Action & Adventure, Art House & International, Drama, Romance",NR,,Hugo Stuven,"Alain Hernández, Aura Garrido, Ben Temple",Hugo Stuven
1596,Stations of the Elevated,2015,,100%,33%,45 minutes,"Documentary, Musical & Performing Arts, Special Interest",NR,,Manfred Kirchheimer,"Aretha Franklin, Charles Mingus",
1597,Inconceivable,2017,,31%,65%,105 minutes,Mystery & Suspense,R,,Jonathan Baker,"Gina Gershon, Faye Dunaway, Nicolas Cage, Nicky Whelan, Natalie Eva Marie",Chloe King
1598,Bad Times at the El Royale,2019,,75%,73%,140 minutes,Mystery & Suspense,R,,Drew Goddard,"Jeff Bridges, Cynthia Erivo, Chris Hemsworth, Dakota Johnson, Jon Hamm, Cailee Spaeny, Nick Offerman, Manny Jacinto, Jim O'Heir, Mark O'Brien (IX), Kate Gajdosik, Lewis Pullman, Xavier Dolan, Katharine Isabelle, Alvina August, Jonathan Whitesell, Sarah Smyth, Charles Halford, Bethany Brown, Hannah Zirke, Tally Rodin, Sophia Lauchlin Hirt, Austin James, Billy Wickman, Vincent Washington, Caroline Koziol, Austin Abell, Shark Nima Soltani",Drew Goddard
1599,The Debt (Oliver's Deal),2016,,44%,47%,99 minutes,"Drama, Mystery & Suspense",NR,,Barney Elliott,"Stephen Dorff, Brooke Langton, David Strathairn, Alberto Ammann, Carlos Bardem, Nidia Bermejo, Lucho Cáceres, María Angélica Vega, Emilran Cossío, Gabriela Bilotti",Barney Elliott
1600,One More Time (When I Live My Life Over Again),2016,,52%,30%,97 minutes,"Comedy, Drama, Musical & Performing Arts",NR,,Robert Edwards,"Christopher Walken, Amber Heard, Hamish Linklater, Kelli Garner, Oliver Platt, Ann Magnuson, Henry Kelemen, Sandra Berrios, Gavin McInnes, John Ellison Conlee, Danny Fischer, Rosharra Francis, Bree Sharp, Julia Garrison, Jonathan Wu, Bobby Lurie, Veronika Dominczyk, Michael DeNola, Joe McGinty, Jordan Lage, David O'Brien, Charlotte Rydberg, Mollie Goldstein, Jim Forbes",Robert Edwards
1601,Cinderella,2015,,84%,78%,105 minutes,"Kids & Family, Science Fiction & Fantasy, Romance",PG,,Kenneth Branagh,"Lily James, Cate Blanchett, Richard Madden, Helena Bonham Carter, Sophie McShera, Holliday Grainger, Stellan Skarsgard, Derek Jacobi, Nonso Anozie, Ben Chaplin, Hayley Atwell, Rob Brydon, Jana Perez, Alex MacQueen, Tom Edden, Gareth Mason, Paul Hunter, Eloise Webb, Joshua McGuire, Matthew Steer, Mimi Ndiweni, Laura Elsworthy, Ella Smith, Ann Davies, Gerard Horan, Katie West, Daniel Tuite, Anjana Vasan, Stuart Neal, Tomiwa Edun, Richard McCabe, Joseph Kloska, Andy Apollo, Craig Mather, Jonny Owen Last, Nari Blair Mangat, Michael Jenn, Josh O'Connor","Aline Brosh McKenna, Chris Weitz"
1602,The Big Short,2016,,88%,87%,130 minutes,Drama,R,,Adam McKay,"Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt, Karen Gillan, Marisa Tomei, Melissa Leo, Finn Wittrock, Max Greenfield, Billy Magnussen, Rafe Spall, Hamish Linklater, John Magaro, Byron Mann, Al Sapienza, Heighlen Boyd, Sue-Lynn Ansari, Brandon Stacy, Jeremy Strong, Sara Finley, Tracy Letts, Lindsay Musil, Ruby Lou Smith, Shona Gastian, Garrett Hines, Aaron V. Williamson, Adepero Oduye, Wayne Pére, Judd Lormand, Shauna Rappold, Dave Davis, Lara Grice, Vanessa Cloke, Candice Harrison, Aiden Flowers, Charlie Talbert, Michael K. Douglas, Carrie Lazar, Nicole Barré, Emily Bossak, Billy Slaughter, Mark Falvo, Jae Suh Park, Juliet Reeves, Jeff Caperton, Tony Bentley, Hunter Burke, Jay Jablonski, Jaclyn Bethany, Elton LeBlanc, Jeffry Griffin, Nazeema Bartek, Tracy Mann, Paula Shreve, David Kallaway, Erika Vaughn, Tom Buis, Sidney Beitz, Mike R. Moreau, Colin Lawless, Stanley Wong, Holly Ann Perry, Jason Bayle, Andrea Vittoria Alvarado, Kristen Scott, Rajeev Jacob, Tom Bui, Leslie Castay, Marcus Lyle Brown, Lyle Brocato, Anthony Marble, Jack Millard, Tyler Kunkle, Patrick Kearns, Darly Wayne, Jesse Yarborough, Kelly Lind, Ryan Broussard, John Neisler, Daryl Thibodaux, Cynthia LeBlanc, Oscar Gale, David Michael Cefalu, Blaine Kern III, Michelle Torres, Elliott Grey, Peter Epstein, Mark Roman, Christopher Gulas, Michael Rollins, Blaine Kern III, Ronald Joe Vasquez, Jay Potter, Christina Michelle Williams, Paul Campanella, Alicia Davis Johnson, Staci Roberts Steele, Richard R. Corapi, Colette Divine, Candace McAdams, Jamie Gliddon","Adam McKay, Charles Randolph"
1603,The Family Fang,2016,,83%,47%,105 minutes,Drama,R,,Jason Bateman,"Nicole Kidman, Jason Bateman, Christopher Walken, Maryann Plunkett, Jason Butler Harner, Kathryn Hahn, Eugenia Kuzmina, Linda Emond, Marin Ireland, Josh Pais, Michael Chernus, Mackenzie Brooke Smith, Suzan Perry, Jaiden Kaine, Robbie Tann, Scott Shepherd, Grainger Hines, Taylor Rose, Claire Glassford, Frank Harts, Steve Witting, Gabriel Ebert, Ethan Coskay, Danny Burstein, Venus Ariel, Genevieve Adams, Abigail Friend, Kevin T. Collins, Jack McCarthy, Seth Barrish, Kyle Donnery, Brian Carter, MaameYaa Boafo, Brian J. Carter, Ryan DeLuca, Audrey Lynn Weston, Joe Lanza, Edward Mitchell, Allison Jean White, Ashlynn Alexander, Patrick Mitchell, Adam Shippey, Justin Arnold, Dylan Page, David Kubicka, Frankie Verroca, Kent vanKuller, Luca Bello, John Tarry, Samantha Hlavacek, Jeremy Kruse, Guy Veryzer, Paige Rossi, Isaac Galizio, Zariah Singletary, Anthony Ferrara, Jason Zell",David Lindsay-Abaire
1604,Dog Eat Dog,2016,,50%,18%,95 minutes,"Action & Adventure, Mystery & Suspense",NR,,Paul Schrader,"Willem Dafoe, Nicolas Cage, Christopher Matthew Cook, Melissa Bolona, Paul Schrader, Rey Gallegos, Chelcie Melton, Logan Fry, Bruce Reizen, Magi Avila, Omar J. Dorsey, Jessica Sonneborn, Louisa Krause, Michael Wisniewski, Chelsea Mee, Nicky Whelan, Leilani Barrett, John Patrick Jordan",Matthew Wilder
1605,Multiple Maniacs,2017,,100%,73%,90 minutes,"Comedy, Horror",NC17,,John Waters,"Mink Stole, Jack Roberts, Susan Walsh, David Lochary, Mary Vivian Pearce, Cookie Mueller, Jack Walsh, Paul Swift, Ed Peranio, George Figgs, Divine, Pat Moran, Susan Lowe, Edith Massey, Vincent Peranio",John Waters
1606,Crazy About Tiffany's,2016,,27%,37%,87 minutes,Documentary,NR,,Matthew Miele,"Jennifer Tilly, Baz Luhrmann, Sam Taylor-Johnson, Jessica Biel, Katie Couric, Catherine Martin, Fran Lebowitz, Rachel Zoe, Amy Fine Collins",Matthew Miele
1607,The Gallows,2015,,14%,22%,87 minutes,"Horror, Mystery & Suspense",R,,"Travis Cluff, Chris Lofing","Cassidy Gifford, Pfeifer Brown, Ryan Shoos, Reese Mishler, Alexis Schneider, Price T. Morgan, Mackie Burt, Travis Cluff, Melissa Bratton, Théo Burkhardt, David Herrera, Gannon DelFierro, Adrian Salas, John Hales, Mark Hales, Shannon Wetzel, Caeleb Trace, Theo Stratigos, Paris Cluff, Jason James, Matt Benson, Kelly Davis, Ryan Wade, Trina Short, Ed Osuna, Shirley Hales, Jordan Hunter, Rebecca Dowty, Karen Kidder, Ed Nicolls, Daniel Short, Dave Kidder, Corey Costelloe, Derrik Carter, Nathan Healy, Jesse Cross, John Tanksly, Blake Taylor, Steven Hrdlicka, Jerris Ramirez, Terry Meyers, Kelley Yeager, Richie Mirlez, Burkelee Woods, Chris Akers, Jacob Burnett, Gabriela Duran, Milan Duran, Madison Ballew, Curt Barrow, Elaine Beckham, Alexa Benson, Jeff Smith, Brandon Cornejo, Brad Jacobson, Dorothy Snyder, Tom Milne, Paul Rutigliano, Reece Mishler","Travis Cluff, Chris Lofing"
1608,Equalizer 2,2018,,51%,62%,129 minutes,"Action & Adventure, Mystery & Suspense",R,,Antoine Fuqua,"Denzel Washington, Pedro Pascal, Ashton Sanders, Bill Pullman, Melissa Leo, Jonathan Scarfe, Sakina Jaffrey, Caroline Day, Orson Bean, Abigail Marlowe",Richard Wenk
1609,Jurassic World,2015,,72%,78%,123 minutes,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",PG-13,,Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Vincent D'Onofrio, Judy Greer, Omar Sy, Nicholas John Robinson, Jake Johnson (XVI), Nick Robinson, Lauren Lapkus, Katie McGrath, Ty Simpkins, B.D. Wong, Irrfan Khan, Brian Tee, Eddie J. Fernandez, Andy Buckley (II), Kelly Washington, Divine Prince Ty Emmecca, Jennifer Rikert Wolski, Matthew Cardarople, Gary Weeks (II), Fileena Bahris, Hélène Cardona, Eric Edelstein, Inder Kumar, Courtney J. Clark, Colby Boothman-Shepard, Colby Boothman, Jimmy Fallon, James DuMont, Matthew Burke, Michael Papajohn, Isaac Keys, Anna Talakkottur, Patrick Crowley, William Gary Smith, Chad Randall, Bill Ogilvie, Alan Tam, Chloe Perrin, Kevin Foster, Yvonne Welch, Brad Bird, Timothy Eulich, Bonnie Wild, Colin Trevorrow","Rick Jaffa, Amanda Silver, Derek Connolly, Colin Trevorrow"
1610,Avengers: Age of Ultron,2015,,75%,83%,141 minutes,"Action & Adventure, Science Fiction & Fantasy",PG-13,,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Linda Cardellini, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Samuel L. Jackson, James Spader, Elizabeth Olsen, Aaron Taylor-Johnson, Thomas Kretschmann, Paul Bettany, Stellan Skarsgard, Tom Hiddleston, Cobie Smulders, Don Cheadle, Anthony Mackie, Hayley Atwell, Idris Elba, Claudia Kim, Andy Serkis, Julie Delpy, Stan Lee, Henry Goodman, Chris Luca, Brian Schaeffer, Dominique Provost-Chalkley, Isaac Andrews, Gareth Kieran Jones, Chan Woo Lim, Minhee Yeo, Bentley Kalu, Julian Bleach, Vuyo Dabula, Nondumiso Tembe, Kabelo Thai, Lele Ledwaba, Mandla Gaduka, Harriet Manamela, Antony Acheampong, Chioma Anyanwu, Ingvild Deila, Earl Kim Shiroma, Michael Matovski, Alma Noce, Riccardo Richetta, Earl Kim, Constanza Ruff, Monty McLaren, Julia Krynke, Tony Christian, Ian Kay, Barry Aird, Monty McLaren-Clark, Verity Hewlett, Mina Kwon, Namju Go, Sunny Yeo, Chris Beasley","Stan Lee, Jack Kirby, Joss Whedon"
1611,Sing,2017,,72%,73%,108 minutes,"Animation, Comedy, Musical & Performing Arts",PG,,"Garth Jennings, Christophe Lourdelet","Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson, John C. Reilly, Taron Egerton, Tori Kelly, Jennifer Saunders, Jennifer Hudson, Peter Serafinowicz, Garth Jennings, Nick Kroll, Beck Bennett, Nick Offerman, Jay Pharoah, Leslie Jones, Rhea Perlman, Laraine Newman, Adam Buxton, Brad Morris, Bill Farmer, Leo Jennings, Oscar Jennings, Caspar Jennings, Asa Jennings",Garth Jennings
1612,A Prayer Before Dawn,2018,,92%,75%,116 minutes,"Action & Adventure, Art House & International",R,,Jean-Stéphane Sauvaire,"Joe Cole, Vithaya Pansringarm, Panya Yimmumphai, Nicolas Shake, Pornchanok Mabklang","Jonathan Hirschbein, Nick Saltrese"
1613,The Overnighters,2015,,99%,85%,90 minutes,"Documentary, Drama, Special Interest",PG-13,,Jesse Moss,"Jay Reinke, Andrea Reinke, Shelly Shultz, Alan Mezo, Keegan Edwards, Michael Batten, Paul Engel, David Rupkalvis",Jesse Moss
1614,Gods Of Egypt,2016,,15%,37%,127 minutes,"Action & Adventure, Science Fiction & Fantasy",PG-13,,Alex Proyas,"Gerard Butler, Nikolaj Coster-Waldau, Brenton Thwaites, Geoffrey Rush, Chadwick Boseman, Elodie Yung, Rufus Sewell, Courtney Eaton, Abbey Lee, John Samaha, Paula Arundell, Alia Seror-O'Neill, Emily Wheaton, Rachael Blake, Michael-Anthony Taylor, Bryan Brown, Michael Anthony Taylor, Emma Booth, Felix Williamson, Ian Roberts, Alexander England, Matt Ruscic, Elvis Sinosic, Danny Mifsud, Goran D. Kleut, Yaya Deng, Markus Hamilton, Kenneth Ransom, Bruce Spence, Tiriel Mora, Robyn Nevin, Marisa Lamonica, Keala Pringley, Linsday Farris","Burk Sharpless, Matt Sazama"
1615,The Third Murder (Sandome no satsujin),2018,,86%,64%,124 minutes,"Art House & International, Drama, Mystery & Suspense",NR,,Hirokazu Koreeda,"Masaharu Fukuyama, Koji Yakusho, Shinnosuke Mitsushima, Mikako Ichikawa, Suzu Hirose, Miwako Ichikawa, Izumi Matsuoka, Isao Hashizume, Hajime Inoue, Aju Makita, Ichirô Ogura, Yuki Saito, Kotaro Yoshida",Hirokazu Koreeda
1616,Under the Eiffel Tower,2019,,47%,81%,87 minutes,"Comedy, Romance",NR,,Archie Borders,"Matt Walsh, Judith Godrèche, Reid Scott, Michaela Watkins, David Wain, Dylan Gelula, Tess Barthélemy, Gary Cole, Ary Abittan","Archie Borders, David Henry"
1617,Terminal,2018,,21%,39%,90 minutes,Drama,NR,,Vaughn Stein,"Margot Robbie, Simon Pegg, Mike Myers, Dexter Fletcher, Max Irons, Matthew Lewis",Vaughn Stein
1618,The Water Diviner,2015,,61%,60%,111 minutes,Drama,R,,Russell Crowe,"Russell Crowe, Isabel Lucas, Jai Courtney, Olga Kurylenko, Ryan Corr, Yilmaz Erdogan, Jacqueline McKenzie, Steve Bastoni, Salih Kalyon, Dylan Georgiades, Megan Gale, James Fraser, Ben O'Toole, Jackie Patterson, Ben Norris, Aidan Smith, Damon Herriman, Sophia Forrest, Dan Wylie, Christopher Sommers, Benedict Hardie, Michael Dorman, Max Benitz, Charles Allan, Ali Akdeniz, Robert Mammone, Deniz Akdeniz, Emrah Aksu, Thomas Unger, Jack Randall, Zev Eleftheriou, Bill Thompson, David Oliver, Asena Gündüz, Aleyna Gündüz, Abdullah Eraslan, Reverend Diogenis Patsouris, Mustafa Özlük, Serdar Ali Sagin, Ediz Nidai, Jason Honeychurch, George Ogilvie, Stewart Kirwan, Gazi Yalcin, Brad Turner, Fabian Hevia, Ethem Temizkanoglu, Varlam Nikoladze, Nigar Alkan Sen, Muammer Er, Ali Akkus, Agani Gecmez, Mustafa Konukcu, Mehmet Emin Kabakci","Andrew Anastasios, Andrew Knight"
1619,Don't Sleep,2017,,9%,25%,95 minutes,"Horror, Mystery & Suspense",NR,,Rick Bieber,"Cary Elwes, Dominic Sherwood, Drea de Matteo, Jill Hennessy, Andrew Caldwell, Alex Rocco",Rick Bieber
1620,Let Us Prey,2015,,82%,42%,89 minutes,Horror,NR,,,"Liam Cunningham, Pollyanna McIntosh, Bryan Larkin, Douglas Russell, Hanna Stanbridge, Niall Greig Fulton","David Cairns, Hanna Stanbridge, Fiona Watson"
1621,Slash,2016,,91%,56%,100 minutes,Comedy,NR,,Clay Liford,"Hannah Marks, Michael Johnston, Tishuan Scott, Michael Ian Black, Jessie Ennis, Peter Vack, Violett Beane, Brandy Burre, John Ennis, Jonathan Lisecki, Robert Longstreet, Lucas Neff, Courtney Bandeko, Dalton Phillips, Ben J. Pierce, Alexandria Deberry, Jackie Palacios, Matt Peters, Dustin Ballard, Sharmita Bhattacharya, Sarah Ramos, Burnie Burns, Cyndi Williams, Reece Everett Ryan, Angela Kinsey, Laura Bailey, Luciana Faulhaber, Liza Oppenheimer, Jennifer Prediger, Mark Hosack, Philippe Clément, Susan Burke (VIII), Amy Edwards, Nate Rubin, Kelli Bland, Robert Cownie, Erica Alcocer, Layne Edwards, Nikki Loehr, Isaac Ireland, Sam Eidson, Missi Pyle, Kerri Lendo, Dakota Morrissiey, Heath Young, Karen Burke, Coulter Adams",Clay Liford
1622,Person to Person,2017,,52%,46%,84 minutes,Drama,NR,,Dustin Guy Defa,"Michael Cera, Abbi Jacobson, Tavi Gevinson, Isiah Whitlock Jr., Michaela Watkins, Olivia Luccardi, Ben Rosenfield (II), Buddy Duress, Bene Coopersmith, George Sample III, Philip Baker Hall",Dustin Guy Defa
1623,Jews And Baseball: An American Love Story,2015,,67%,68%,91 minutes,"Documentary, Sports & Fitness",NR,,Peter Miller,"Dustin Hoffman, Martin Abramowitz, Maury Allen, Rebecca Alpert, Yogi Berra, Ron Von Blomberg, Charles Bronfman, Bob Feller, Shawn Green, Adam Greenberg, Hank Greenberg, Melanie Greenberg, Steve Greenberg, Ron Howard, Roger Kahn, Larry King, Sandy Koufax, Peter Levine, Elliott Maddox, Marvin Miller, Murray Olderman, Michael Paley, Al Rosen, Marv Rotblatt, Bud Selig, Norm Sherry, Fred Wilpon, Kevin Youkilis",Ira Berkow
1624,V/H/S: Viral,2015,,35%,14%,97 minutes,"Horror, Mystery & Suspense",R,,"Gregg Bishop, Justin Benson, Aaron Moorhead, Marcel Sarmiento, Nacho Vigalondo","Emmy Argo, Dan Caudill, Jessica Luza, Nathan Mobley, Justin Welborn, Noelle Ann Mabry, Emilia Ares, Randy McDowell, John Curran (IV), Michael Aaron Milligan, Kelly Misek Jr., Greyson Chadwick, Susan Williams, Amanda Baker, Blair Redford, Jessica Serfaty, Carrie Keagan, Cory Rouse, Stephen Caudill, Celia K. Milius, Steve Berens, Garrett Bales, Ashley Rivers, Stephanie Silver, Donald Taylor Knott, Val Vega, Ángela García, Vanessa Siqueiros, Lilliana Aliyah Delahoussaye, Chad Guerrero, Chad Guerrero, Jr., Jorge Marquez, Steve Robles, Gary Sugarman, Kenny Burns, Heather Hayes, Ashley Caudill, Mark Oliver, Angie Dillard, Nick Lauinger, Tony Reames, Marián Álvarez, Gustavo Salmerón, Xavi Daura, Esteban Navarro, Nick Blanco, Chase Newton, Shane Bradey, Peter Villalba, David Castro, Alexandra Besore, Justin Benson, Aaron Moorhead, Rachel Wixom, Destorm Power, Yahel Dooley, John Oravec","Gregg Bishop, Justin Benson, Marcel Sarmiento, Nacho Vigalondo, Todd Lincoln, David White, T.J. Cimfel"
1625,Tully,2018,,85%,74%,94 minutes,Comedy,R,,Jason Reitman,"Charlize Theron, Mackenzie Davis, Mark Duplass, Ron Livingston, Emily Haine",Diablo Cody
